DirectorID,EXECID,execCIK
1305493,60424,0001469265
348750,60430,0001207269
1454584,60432,0000216309
335360,07804,0001227440
1484266,52450,0001672279
343537,36440,0001081639
347136,36442,0000904668
641184,55154,0001709160
456595,35068,NA
347360,34069,0001209059
332320,06511,0001229985
332333,26270,0001230009
65212,06207,NA
29050,26025,0001212410
456592,30913,0001205943
183849,10680,NA
348111,20644,0001194980
4210,02411,NA
348008,21613,0001194987
1338476,54707,NA
1091833,49489,NA
505355,49496,NA
337569,33999,NA
1091836,49485,NA
328156,59196,0001184600
651581,59192,0001322385
328126,59194,0001042873
328135,59193,0001187778
328158,59197,0001192710
50191,60589,0001168754
1261007,60587,0001676084
449876,60585,NA
1047110,60581,0001312740
1273063,60584,0001559369
92032,35816,NA
92127,35818,NA
343263,29071,NA
200641,00097,0000941957
486475,31212,0001344885
35043,25970,0001195071
33178,00670,NA
33167,03029,0001176400
33171,03028,0001189892
183652,23592,0001204667
340862,35069,0001361388
85982,04033,NA
338,05382,0001204673
203022,29222,0001216460
85947,04034,NA
35795,14581,0001209482
485451,30890,0001209479
35802,03860,0001209490
33961,00095,NA
33895,01302,NA
33891,19104,NA
530281,02563,NA
332157,02425,NA
878281,44060,NA
323712,36446,NA
324581,36449,NA
323713,36448,NA
878255,43285,NA
347911,30183,0001100613
1125492,46295,NA
335439,34002,0000905475
335397,34003,0001190206
1112859,59307,0001510616
182552,10939,0001235706
182564,04078,0001235707
182575,12566,0001021762
1323846,45006,0001553317
140207,13646,0001038850
650074,37224,0001441013
47436,00415,0001195682
336051,23358,0001196440
487474,31576,0001307654
61697,15878,0001237257
61782,15880,0001237253
202343,18023,0001183854
1336389,51801,0001590405
449609,36757,NA
330611,36755,NA
3617,58050,NA
330703,03804,NA
330733,24068,NA
330714,10762,NA
534396,36756,NA
181652,03802,NA
272506,12843,NA
330708,26490,NA
484633,32818,0001222728
202708,10138,0001017081
24850,03811,NA
38656,05894,0001082877
182563,34374,0001199943
182571,34377,0001199944
182551,34376,0001199936
140386,32493,NA
44476,10491,NA
487410,42397,0001531361
51647,18590,NA
9689,01148,NA
37186,01097,NA
45501,01621,0001063141
37146,00114,0001160503
45516,01619,0001180139
63897,01622,NA
335512,33595,0001239441
220834,28941,0001182711
83947,04082,0001231182
48736,01266,NA
47736,10110,0001221783
180799,02511,NA
33663,20525,0001221784
48441,20526,0001221787
37711,11645,0000901425
37441,13517,0001234078
37641,00117,0000901402
36604,22345,0001061568
275106,20473,0001007789
275119,20472,NA
67842,13152,0001159992
35306,28004,0001252741
372421,29753,0001340794
494446,33598,NA
348025,29996,0001329470
348015,19612,NA
348098,09488,0001243692
221187,20471,NA
221190,20468,0001205677
33641,02527,0001013644
33738,10515,NA
33734,27471,0001026941
81572,04089,NA
206440,23550,0001182313
83447,04088,NA
204835,24537,0001215484
204836,24536,0001215482
81407,02539,0001215465
333586,02538,NA
181524,06515,0000902398
181519,06513,0001209586
205183,21626,0001218358
106062,51061,0001201520
181521,06514,0000902350
1113697,55796,0001728451
40751,01030,0001078511
32543,00125,0000315090
336085,55395,0001203982
1071772,55393,0001482758
45851,06176,0001191192
45616,06175,0001188050
55131,28397,0001188052
1713009,51370,0001676999
801207,44610,0001467638
182431,00129,NA
331907,32828,0001216336
103382,09179,0001191201
453252,45823,0001288052
3306,11850,0001191211
350128,29775,0001332978
324816,13937,NA
180205,25790,NA
604969,35566,NA
324815,13939,NA
324985,35570,NA
324817,13938,NA
181636,17430,NA
181631,17433,0000940805
336419,37217,0001189454
336429,37219,0001189451
1134582,44956,0001534980
180642,18163,NA
55406,13278,0001226288
1694109,51476,0001672709
444365,25235,0001208781
1538121,49246,0001647860
331498,35733,NA
348537,34379,0001333418
220671,47462,0001455940
348539,34382,0001293753
2025446,56841,0001743526
372877,32881,0001298785
48146,02584,0001189194
48166,02590,0001189172
517786,32128,0001349819
48241,11909,0001189168
321582,26843,NA
837389,50207,0001456817
1123231,43232,0001498428
201170,14007,NA
88062,06433,NA
54707,04102,NA
334369,43752,0001327980
371114,36454,0001033221
371168,36453,0001033223
485184,57645,0001306296
142105,05188,0001134493
142114,05190,NA
206270,13750,0001192575
142267,13751,0001253640
1251987,50078,0001546786
200197,17799,0001225872
1303094,55527,0001572402
271066,25316,0001225871
537759,32069,0001400603
182525,04106,0001194292
205691,23651,0001194286
182518,04108,0001194290
493684,29725,0001305656
182755,24951,0001194288
500864,47184,0001439920
441131,31875,0001345562
140463,27717,0001059245
204017,27719,0001059246
497786,29964,0001059235
180915,32897,0001235367
65122,23105,0001026597
1070556,41133,0001478601
105637,13851,NA
336300,13850,0001241079
336974,40069,0001312905
200068,29378,NA
200165,29375,NA
183300,40008,NA
337130,30331,NA
336994,31817,0001287611
336976,31816,0001287613
38056,00138,NA
533870,33905,0001367688
1384194,56567,0001605589
862113,49266,NA
1270657,49264,0001125154
36489,00140,NA
605024,49906,0001275331
182923,04114,NA
374610,49905,0001297003
182778,04115,NA
881229,42427,0001471763
34602,00902,0001013062
1297967,58230,0001765087
591489,45534,0001188630
650541,47010,0001607859
273150,16947,NA
486760,32133,0001365327
90982,26715,0001015836
2003001,56998,0001736679
1191586,46822,0001537198
378043,47932,NA
322195,46826,0001537190
1191589,47931,0001537193
37571,43484,NA
549248,43297,0001516908
203073,12759,0001214606
1312767,36811,0001623534
141197,19418,0001144872
141182,15717,NA
1195691,45571,0001521439
1081716,42879,0001480219
64652,13718,NA
204298,27835,0001044213
105887,19392,0001078978
58161,30040,0001343964
337351,41471,NA
337387,34384,0001206513
337431,20463,NA
337425,20464,0001191253
337428,20462,0001033421
1081327,41636,0001495119
1088451,41637,0001256553
202263,22728,0001241637
202262,22731,0001241632
204914,26157,0001217102
48586,26154,0001106184
140549,26153,0001106186
491901,45999,0001339081
35359,01160,0001190128
879252,42847,0001533022
35353,00146,NA
334679,40705,0001225454
273079,12307,0001179907
273099,25197,0001179914
273091,21630,0001179911
273082,12306,0001179961
182690,25834,0001186752
326639,25835,0001186757
182693,31704,0001186742
331239,29801,0001005775
276129,34889,0000902023
332082,16744,0001222849
550160,48204,0001402603
220719,13908,NA
